,clip_id,mp3_path,track_number,title,artist,album,url,segmentStart,segmentEnd,original_url
209,7121,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/8/beth_quist-lucidity-02-eli-0-29.mp3,2,Eli,Beth Quist,Lucidity,http://www.magnatune.com/artists/albums/quist-lucidity/,0,29,http://he3.magnatune.com/all/02-Eli-Beth%20Quist.mp3
245,34193,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/a/bjorn_fogelberg-karooshi_porn-07-wave-204-233.mp3,7,Wave,Bjorn Fogelberg,Karooshi Porn,http://www.magnatune.com/artists/albums/fogelberg-karooshi/,204,233,http://he3.magnatune.com/all/07-Wave-Bjorn%20Fogelberg.mp3
262,177,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/e/burning_babylon-stereo_mash_up-01-7_nine_skank-59-88.mp3,1,7 Nine Skank,Burning Babylon,Stereo Mash Up,http://www.magnatune.com/artists/albums/babylon-stereo/,59,88,http://he3.magnatune.com/all/01-7%20Nine%20Skank-Burning%20Babylon.mp3
268,35706,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/e/burning_babylon-stereo_mash_up-08-heavy_dread-30-59.mp3,8,Heavy Dread,Burning Babylon,Stereo Mash Up,http://www.magnatune.com/artists/albums/babylon-stereo/,30,59,http://he3.magnatune.com/all/08-Heavy%20Dread%20-Burning%20Babylon.mp3
314,5805,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/3/c__layne-potemkin_villages-01-you_are_the_reason-146-175.mp3,1,You are the reason,C. Layne,Potemkin Villages,http://www.magnatune.com/artists/albums/clayne-potemkin/,146,175,http://he3.magnatune.com/all/01-You%20are%20the%20reason-C.%20Layne.mp3
319,29666,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/3/c__layne-potemkin_villages-06-thinking_of_you-30-59.mp3,6,Thinking of you,C. Layne,Potemkin Villages,http://www.magnatune.com/artists/albums/clayne-potemkin/,30,59,http://he3.magnatune.com/all/06-Thinking%20of%20you-C.%20Layne.mp3
320,33603,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/3/c__layne-potemkin_villages-07-talk_slow-0-29.mp3,7,Talk slow,C. Layne,Potemkin Villages,http://www.magnatune.com/artists/albums/clayne-potemkin/,0,29,http://he3.magnatune.com/all/07-Talk%20slow-C.%20Layne.mp3
322,40068,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/3/c__layne-potemkin_villages-09-michael-88-117.mp3,9,Michael,C. Layne,Potemkin Villages,http://www.magnatune.com/artists/albums/clayne-potemkin/,88,117,http://he3.magnatune.com/all/09-Michael-C.%20Layne.mp3
330,14909,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/e/c_layne-the_sun_will_come_out_to_blind_you-03-shes_on_my_mind-0-29.mp3,3,She's On My Mind,C Layne,The Sun Will Come Out to Blind You,http://www.magnatune.com/artists/albums/clayne-blind/,0,29,http://he3.magnatune.com/all/03-She's%20On%20My%20Mind-C%20Layne.mp3
331,18378,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/e/c_layne-the_sun_will_come_out_to_blind_you-04-less_of_you_feat__revel_yth-117-146.mp3,4,Less Of You (feat. Revel Yth),C Layne,The Sun Will Come Out to Blind You,http://www.magnatune.com/artists/albums/clayne-blind/,117,146,http://he3.magnatune.com/all/04-Less%20Of%20You%20(feat.%20Revel%20Yth)-C%20Layne.mp3
346,34620,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/b/cargo_cult-alchemy-08-ambriel-30-59.mp3,8,Ambriel,Cargo Cult,Alchemy,http://www.magnatune.com/artists/albums/cargo-alchemy/,30,59,http://he3.magnatune.com/all/08-Ambriel-Cargo%20Cult.mp3
351,50201,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/b/cargo_cult-alchemy-13-matt-30-59.mp3,13,Matt,Cargo Cult,Alchemy,http://www.magnatune.com/artists/albums/cargo-alchemy/,30,59,http://he3.magnatune.com/all/13-Matt-Cargo%20Cult.mp3
369,37892,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/9/cheryl_ann_fulton-the_airs_of_wales-08-the_minstrelsey_of_chirk_castle-30-59.mp3,8,The Minstrelsey of Chirk Castle,Cheryl Ann Fulton,The Airs of Wales,http://www.magnatune.com/artists/albums/fulton-airs/,30,59,http://he3.magnatune.com/all/08-The%20Minstrelsey%20of%20Chirk%20Castle-Cheryl%20Ann%20Fulton.mp3
377,6033,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/chris_harvey-the_white_sail-02-allegiance-117-146.mp3,2,Allegiance,Chris Harvey,The White Sail,http://www.magnatune.com/artists/albums/harvey-wsail/,117,146,http://he3.magnatune.com/all/02-Allegiance-Chris%20Harvey.mp3
379,19549,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/chris_harvey-the_white_sail-04-secrets_from_the_screen-175-204.mp3,4,Secrets From The Screen,Chris Harvey,The White Sail,http://www.magnatune.com/artists/albums/harvey-wsail/,175,204,http://he3.magnatune.com/all/04-Secrets%20From%20The%20Screen-Chris%20Harvey.mp3
381,27766,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/chris_harvey-the_white_sail-06-liber_null__part_2-30-59.mp3,6,Liber Null - Part 2,Chris Harvey,The White Sail,http://www.magnatune.com/artists/albums/harvey-wsail/,30,59,http://he3.magnatune.com/all/06-Liber%20Null%20-%20Part%202-Chris%20Harvey.mp3
384,40484,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/chris_harvey-the_white_sail-09-pixelize-175-204.mp3,9,Pixelize,Chris Harvey,The White Sail,http://www.magnatune.com/artists/albums/harvey-wsail/,175,204,http://he3.magnatune.com/all/09-Pixelize-Chris%20Harvey.mp3
399,41281,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/curandero-curandero-09-teddy_bear-59-88.mp3,9,Teddy Bear,Curandero,Curandero,http://www.magnatune.com/artists/albums/curandera-curandero/,59,88,http://he3.magnatune.com/all/09-Teddy%20Bear%20-%20Curandero.mp3
431,4788,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/4/dac_crowell-spctr-01-spctr-2727-2756.mp3,1,SPCTR,DAC Crowell,SPCTR,http://www.magnatune.com/artists/albums/dac-spctr/,2727,2756,http://he3.magnatune.com/all/01-SPCTR-DAC%20Crowell.mp3
436,19119,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/d/daniel_ben_pienaar-book_2_cd1_welltempered_clavier-04-prelude_and_fugue_no__2_in_c_minor_bwv_871_fuga-30-59.mp3,4,Prelude And Fugue No. 2 In C Minor BWV 871_ Fuga,Daniel Ben Pienaar,Book 2 CD1 Well-Tempered Clavier,http://www.magnatune.com/artists/albums/dbp-wtc2a/,30,59,http://he3.magnatune.com/all/04-Prelude%20And%20Fugue%20No.%202%20In%20C%20Minor%20BWV%20871_%20Fuga-Daniel%20Ben%20Pienaar.mp3
461,32816,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/daniel_ben_pienaar-book_2_cd2_welltempered_clavier-07-prelude_and_fugue_no__16_in_g_minor_bwv_885_praeludium-146-175.mp3,7,Prelude And Fugue No. 16 In G Minor BWV 885_ Praeludium,Daniel Ben Pienaar,Book 2 CD2 Well-Tempered Clavier,http://www.magnatune.com/artists/albums/dbp-wtc2b/,146,175,http://he3.magnatune.com/all/07-Prelude%20And%20Fugue%20No.%2016%20In%20G%20Minor%20BWV%20885_%20Praeludium-Daniel%20Ben%20Pienaar.mp3
464,43748,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/daniel_ben_pienaar-book_2_cd2_welltempered_clavier-10-prelude_and_fugue_no__17_in_aflat_major_bwv_886_fuga-0-29.mp3,10,Prelude And Fugue No. 17 In A-Flat Major BWV 886_ Fuga,Daniel Ben Pienaar,Book 2 CD2 Well-Tempered Clavier,http://www.magnatune.com/artists/albums/dbp-wtc2b/,0,29,http://he3.magnatune.com/all/10-Prelude%20And%20Fugue%20No.%2017%20In%20A-Flat%20Major%20BWV%20886_%20Fuga-Daniel%20Ben%20Pienaar.mp3
466,48653,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/daniel_ben_pienaar-book_2_cd2_welltempered_clavier-12-prelude_and_fugue_no__18_in_gsharp_minor_bwv_887_fuga-117-146.mp3,12,Prelude And Fugue No. 18 In G-Sharp Minor BWV 887_ Fuga,Daniel Ben Pienaar,Book 2 CD2 Well-Tempered Clavier,http://www.magnatune.com/artists/albums/dbp-wtc2b/,117,146,http://he3.magnatune.com/all/12-Prelude%20And%20Fugue%20No.%2018%20In%20G-Sharp%20Minor%20BWV%20887_%20Fuga-Daniel%20Ben%20Pienaar.mp3
471,54625,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/daniel_ben_pienaar-book_2_cd2_welltempered_clavier-17-prelude_and_fugue_no__21_in_bflat_major_bwv_890_praeludium-0-29.mp3,17,Prelude And Fugue No. 21 In B-Flat Major BWV 890_ Praeludium,Daniel Ben Pienaar,Book 2 CD2 Well-Tempered Clavier,http://www.magnatune.com/artists/albums/dbp-wtc2b/,0,29,http://he3.magnatune.com/all/17-Prelude%20And%20Fugue%20No.%2021%20In%20B-Flat%20Major%20BWV%20890_%20Praeludium-Daniel%20Ben%20Pienaar.mp3
497,35761,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/4/dj_cary-downtempo_chill_2-08-huan_ying_mr_gelatine-262-291.mp3,8,Huan Ying (Mr Gelatine),DJ Cary,Downtempo Chill 2,http://www.magnatune.com/artists/albums/magnacomp-downchill2/,262,291,http://he3.magnatune.com/all/08-Huan%20Ying%20(Mr%20Gelatine)-DJ%20Cary.mp3
543,46832,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/doc_rossi-demarzi6_sonatas_for_cetra_o_kitara-11-sonata_iii_largo-146-175.mp3,11,Sonata III Largo,Doc Rossi,Demarzi-6 Sonatas for Cetra o Kitara,http://www.magnatune.com/artists/albums/rossi-demarzi/,146,175,http://he3.magnatune.com/all/11-Sonata%20III%20Largo-Doc%20Rossi.mp3
555,57455,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/doc_rossi-demarzi6_sonatas_for_cetra_o_kitara-23-sonata_vi_allegro-59-88.mp3,23,Sonata VI Allegro,Doc Rossi,Demarzi-6 Sonatas for Cetra o Kitara,http://www.magnatune.com/artists/albums/rossi-demarzi/,59,88,http://he3.magnatune.com/all/23-Sonata%20VI%20Allegro-Doc%20Rossi.mp3
556,57752,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/doc_rossi-demarzi6_sonatas_for_cetra_o_kitara-24-sonata_vi_minuet-0-29.mp3,24,Sonata VI Minuet,Doc Rossi,Demarzi-6 Sonatas for Cetra o Kitara,http://www.magnatune.com/artists/albums/rossi-demarzi/,0,29,http://he3.magnatune.com/all/24-Sonata%20VI%20Minuet-Doc%20Rossi.mp3
561,18427,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/9/domased-slowdown-04-long_journey-146-175.mp3,4,Long Journey,Domased,Slowdown,http://www.magnatune.com/artists/albums/domased-slowdown/,146,175,http://he3.magnatune.com/all/04-Long%20Journey-Domased.mp3
605,41906,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/2/drop_trio-big_dipper-10-abbey_rhodes-59-88.mp3,10,Abbey Rhodes,Drop Trio,Big Dipper,http://www.magnatune.com/artists/albums/droptrio-bigdipper/,59,88,http://he3.magnatune.com/all/10-Abbey%20Rhodes-Drop%20Trio.mp3
625,35452,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/ed_martin-luis_milan__el_maestro-08-fantasia_8-30-59.mp3,8,Fantasia 8,Ed Martin,Luis Milan - El Maestro,http://www.magnatune.com/artists/albums/martin-luismilan/,30,59,http://he3.magnatune.com/all/08-Fantasia%208-Ed%20Martin.mp3
639,42862,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/c/edward_martin-art_of_the_lute_in_renaissance_france-10-guillarde_milanoise_morlaye-30-59.mp3,10,Guillarde milanoise (Morlaye),Edward Martin,Art of the Lute in Renaissance France,http://www.magnatune.com/artists/albums/martin-artfrance/,30,59,http://he3.magnatune.com/all/10-Guillarde%20milanoise%20(Morlaye)-Edward%20Martin.mp3
649,56935,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/c/edward_martin-art_of_the_lute_in_renaissance_france-22-cest_une_departie_sermisy-0-29.mp3,22,C'est une departie (Sermisy),Edward Martin,Art of the Lute in Renaissance France,http://www.magnatune.com/artists/albums/martin-artfrance/,0,29,http://he3.magnatune.com/all/22-C'est%20une%20departie%20(Sermisy)-Edward%20Martin.mp3
664,15162,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/5/edward_martin_and_paul_berget-baroque_lute_duets-03-sonata_in_c_major_weiss__largo-175-204.mp3,3,Sonata in C Major (Weiss) - Largo,Edward Martin and Paul Berget,Baroque Lute Duets,http://www.magnatune.com/artists/albums/martin-duets/,175,204,http://he3.magnatune.com/all/03-Sonata%20In%20C%20Major%20(Weiss)%20-%20Largo-Edward%20Martin%20and%20Paul%20Berget.mp3
685,50094,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/b/ehren_starks-the_depths_of_a_year-13-in_love_and_miserable_at_300_am-262-291.mp3,13,In love and miserable at 3_00 AM,Ehren Starks,The Depths of a Year,http://www.magnatune.com/artists/albums/ehren-depths/,262,291,http://he3.magnatune.com/all/13-In%20love%20and%20miserable%20at%203_00%20AM-Ehren%20Starks.mp3
759,21585,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/ensemble_vermillian-stolen_jewels-05-buxtehude_sonata_iv_op__i_lentovivace-0-29.mp3,5,Buxtehude Sonata IV Op. I Lento-Vivace,Ensemble Vermillian,Stolen Jewels,http://www.magnatune.com/artists/albums/vermillian-stolen/,0,29,http://he3.magnatune.com/all/05-Buxtehude%20Sonata%20IV%20Op.%20I%20Lento-Vivace-Ensemble%20Vermillian.mp3
810,26167,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/a/falik-dreams_from_the_machine-06-black_llama-0-29.mp3,6,Black Llama,Falik,Dreams from the Machine,http://www.magnatune.com/artists/albums/falik-dreams/,0,29,http://he3.magnatune.com/all/06-Black%20Llama-Falik.mp3
839,2729,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/b/falik-the_ballad_of_el_efe-01-may_day-88-117.mp3,1,May Day,Falik,The Ballad of El Efe,http://www.magnatune.com/artists/albums/falik-efe/,88,117,http://he3.magnatune.com/all/01-May%20Day-Falik.mp3
852,18372,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/4/falling_you-touch-04-less_likely_to_believe-407-436.mp3,4,less likely to believe,Falling You,Touch,http://www.magnatune.com/artists/albums/fallingyou-touch/,407,436,http://he3.magnatune.com/all/04-less%20likely%20to%20believe-Falling%20You.mp3
853,25186,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/4/falling_you-touch-05-the_sadness_of_the_witch-146-175.mp3,5,the sadness of the witch,Falling You,Touch,http://www.magnatune.com/artists/albums/fallingyou-touch/,146,175,http://he3.magnatune.com/all/05-the%20sadness%20of%20the%20witch-Falling%20You.mp3
863,23715,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/farallon_recorder_quartet-ludwig_senfl-05-obo_so_geb_der_mann_ein_pfenning-59-88.mp3,5,Obo so geb' der Mann ein Pfenning,Farallon Recorder Quartet,Ludwig Senfl,http://www.magnatune.com/artists/albums/farallon-senfl/,59,88,http://he3.magnatune.com/all/05-Obo%20so%20geb'%20der%20Mann%20ein%20Pfenning-Farallon%20Recorder%20Quartet.mp3
868,49860,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/farallon_recorder_quartet-ludwig_senfl-13-ecce_quam_bonum-204-233.mp3,13,Ecce quam bonum,Farallon Recorder Quartet,Ludwig Senfl,http://www.magnatune.com/artists/albums/farallon-senfl/,204,233,http://he3.magnatune.com/all/13-Ecce%20quam%20bonum-Farallon%20Recorder%20Quartet.mp3
869,52134,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/farallon_recorder_quartet-ludwig_senfl-14-tandernaken-0-29.mp3,14,Tandernaken,Farallon Recorder Quartet,Ludwig Senfl,http://www.magnatune.com/artists/albums/farallon-senfl/,0,29,http://he3.magnatune.com/all/14-Tandernaken-Farallon%20Recorder%20Quartet.mp3
870,53371,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/farallon_recorder_quartet-ludwig_senfl-15-unsaglich_schmerz-0-29.mp3,15,Unsaglich Schmerz,Farallon Recorder Quartet,Ludwig Senfl,http://www.magnatune.com/artists/albums/farallon-senfl/,0,29,http://he3.magnatune.com/all/15-Unsaglich%20Schmerz-Farallon%20Recorder%20Quartet.mp3
895,35327,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/f/glen_bledsoe-octopants-08-ehaw-30-59.mp3,8,eHaw,Glen Bledsoe,Octopants,http://www.magnatune.com/artists/albums/bledsoe-octopants/,30,59,http://he3.magnatune.com/all/08-eHaw-Glen%20Bledsoe.mp3
896,40018,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/f/glen_bledsoe-octopants-09-march_of_folly-175-204.mp3,9,March of Folly,Glen Bledsoe,Octopants,http://www.magnatune.com/artists/albums/bledsoe-octopants/,175,204,http://he3.magnatune.com/all/09-March%20of%20Folly-Glen%20Bledsoe.mp3
910,22877,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/grayson_wray-picassos_dream-05-into_the_unknown-117-146.mp3,5,Into The Unknown,Grayson Wray,Picassos Dream,http://www.magnatune.com/artists/albums/wray-picassos/,117,146,http://he3.magnatune.com/all/05-Into%20The%20Unknown-Grayson%20Wray.mp3
939,32495,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/hoxman-synthesis_of_five-07-no_name-88-117.mp3,7,No Name,Hoxman,Synthesis of Five,http://www.magnatune.com/artists/albums/hoxman-synthesis/,88,117,http://he3.magnatune.com/all/07-No%20Name-Hoxman.mp3
975,7324,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/f/ivilion-sartinal-02-fetheskol-30-59.mp3,2,Fetheskol,Ivilion,Sartinal,http://www.magnatune.com/artists/albums/ivilion-sartinal/,30,59,http://he3.magnatune.com/all/02-Fetheskol-Ivilion.mp3
978,27343,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/f/ivilion-sartinal-06-hshante-117-146.mp3,6,Hshante,Ivilion,Sartinal,http://www.magnatune.com/artists/albums/ivilion-sartinal/,117,146,http://he3.magnatune.com/all/06-Hshante-Ivilion.mp3
987,28749,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/8/ivilion-terean-06-sancretal-59-88.mp3,6,Sancretal,Ivilion,Terean,http://www.magnatune.com/artists/albums/ivilion-terean/,59,88,http://he3.magnatune.com/all/06-Sancretal-Ivilion.mp3
1029,58778,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/8/jacob_heringman-blame_not_my_lute-40-fortune-0-29.mp3,40,Fortune,Jacob Heringman,Blame Not My Lute,http://www.magnatune.com/artists/albums/heringman-blamenot/,0,29,http://he3.magnatune.com/all/40-Fortune-Jacob%20Heringman.mp3
1030,58791,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/8/jacob_heringman-blame_not_my_lute-42-la_devota_del_cormio-0-29.mp3,42,La Devota del Cormio,Jacob Heringman,Blame Not My Lute,http://www.magnatune.com/artists/albums/heringman-blamenot/,0,29,http://he3.magnatune.com/all/42-La%20Devota%20del%20Cormio-Jacob%20Heringman.mp3
1031,58815,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/8/jacob_heringman-blame_not_my_lute-45-tantarra_chomartello-0-29.mp3,45,Tantarra Chomartello,Jacob Heringman,Blame Not My Lute,http://www.magnatune.com/artists/albums/heringman-blamenot/,0,29,http://he3.magnatune.com/all/45-Tantarra%20Chomartello-Jacob%20Heringman.mp3
