,airy,calm,dark,eerie,happy,light,sad,scary,soft,strange
1446,0,0,0,0,0,0,0,0,1,0
1463,0,0,0,0,1,0,0,0,0,0
1468,0,0,0,0,0,0,0,0,0,1
1484,0,0,1,0,0,0,1,0,0,1
1493,0,0,0,0,0,0,0,0,1,0
1497,0,1,0,0,0,0,0,0,0,0
1499,0,0,0,0,0,0,0,0,1,0
1500,0,0,0,0,0,0,0,0,1,0
1506,0,0,0,0,0,0,0,0,1,0
1514,0,0,0,0,0,0,0,0,0,1
1515,0,0,0,0,0,0,0,0,1,0
1519,0,0,0,0,0,0,1,0,0,0
1524,0,0,0,0,0,0,0,0,0,1
1529,0,0,0,0,0,0,0,0,1,0
1576,0,0,0,0,0,0,0,0,1,0
1580,0,0,0,0,0,0,0,0,1,0
1620,0,0,0,0,0,0,0,0,1,0
1623,0,0,0,0,0,0,0,0,0,1
1668,0,0,0,0,0,0,1,0,0,0
1683,0,1,0,0,0,0,0,0,0,0
1684,0,0,0,0,0,0,0,0,1,0
1713,0,0,0,0,1,0,0,0,0,0
1733,0,0,0,0,0,0,0,0,0,1
1744,0,1,0,0,0,0,1,0,1,0
1781,0,1,1,0,0,0,0,0,1,1
1838,0,0,0,0,0,0,0,0,1,0
1898,0,0,1,0,0,0,1,0,0,0
1910,0,0,0,0,0,0,0,0,0,1
1923,0,0,0,0,0,0,1,0,0,0
1925,0,0,0,0,0,0,0,0,1,0
1927,0,0,0,0,0,0,0,0,1,0
1953,0,0,0,0,0,0,1,0,0,0
2060,0,0,0,0,0,0,0,0,1,0
2066,0,0,0,0,0,0,0,0,1,0
2068,1,0,0,1,0,0,0,0,1,0
2085,0,0,0,0,0,0,0,0,0,1
2109,0,0,0,0,0,0,0,0,1,0
2141,0,0,0,0,0,0,1,0,0,0
2142,0,0,0,0,0,0,0,0,1,0
2149,0,0,0,0,0,0,0,0,1,0
2158,0,0,0,0,0,0,0,0,1,0
2216,0,0,0,0,0,0,0,0,1,0
2250,0,0,0,0,0,0,1,0,0,0
2281,0,0,0,0,0,0,0,0,0,1
2284,0,0,0,0,0,0,0,0,0,1
2285,0,0,1,0,0,0,0,0,0,0
2290,0,0,0,1,0,0,0,0,0,0
2298,0,0,0,0,0,1,0,0,0,1
2299,0,0,0,0,0,0,0,0,0,1
2309,0,0,0,0,0,0,0,0,1,0
2328,0,0,0,0,0,0,1,0,0,0
2349,0,0,0,0,0,0,0,0,1,0
2393,0,0,0,0,0,0,0,0,0,1
2454,0,0,0,0,0,0,0,0,1,0
2459,0,0,0,0,0,0,0,0,1,0
2497,0,0,0,0,0,0,0,0,0,1
2523,0,0,1,0,0,0,0,0,0,0
2551,1,0,0,0,0,0,0,0,0,0
2593,0,0,0,0,0,0,0,0,1,0
2673,0,0,0,0,0,0,0,0,1,0
2680,0,0,0,0,0,0,0,0,0,1
2689,0,0,0,0,0,0,0,0,0,1
2702,0,0,0,0,0,0,0,0,0,1
2738,0,0,0,0,0,0,0,0,1,0
2753,0,0,0,0,0,0,0,0,0,1
2754,0,0,0,0,0,0,0,0,0,1
2759,0,0,0,1,0,0,0,0,0,1
2765,0,0,0,0,0,0,0,1,0,1
2786,0,0,0,0,0,0,0,0,1,0
2792,0,0,0,0,0,0,0,0,1,0
2795,0,0,0,0,0,0,0,0,1,0
2797,0,1,0,0,0,0,0,0,0,0
2818,0,0,0,0,0,0,0,0,1,0
2864,0,0,0,0,0,0,0,0,1,0
2867,0,1,0,0,0,0,0,0,1,0
2870,0,0,0,0,0,0,0,0,0,1
2873,0,0,0,0,0,0,0,0,0,1
2875,0,0,0,0,0,0,0,0,0,1
2897,0,0,0,0,0,0,0,0,1,0
2900,0,0,0,0,0,0,0,0,1,1
2909,0,0,0,0,0,0,0,0,0,1
2913,0,0,0,0,0,0,0,0,1,0
2925,0,0,1,0,0,0,0,0,0,0
2959,0,1,0,0,0,0,0,0,1,0
2975,0,0,0,0,0,0,0,0,1,0
3008,0,0,0,0,0,0,0,0,0,1
