,drum,male,female,flute,guitar,harpsichord,piano,string,synth,violin
298,0,0,0,0,0,1,0,0,0,0
300,0,0,0,0,0,0,1,0,0,0
302,0,1,0,0,0,0,0,0,0,0
305,1,1,0,0,1,0,0,0,0,0
308,1,0,0,0,1,0,0,0,0,0
310,1,1,0,0,1,0,0,0,0,0
313,0,1,0,0,0,0,0,0,0,0
320,0,0,0,0,1,0,0,0,0,0
323,0,1,0,0,1,0,0,0,0,0
324,1,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,1,0,1,0
330,0,0,0,0,0,0,0,0,1,0
337,0,0,0,0,0,0,0,0,0,1
338,0,0,0,0,0,0,0,0,1,0
339,0,0,0,0,0,0,0,0,1,0
342,0,0,0,0,0,0,0,0,1,0
343,0,1,0,0,0,0,0,0,0,0
344,1,0,0,0,0,0,0,0,1,0
345,0,0,0,0,1,0,1,0,0,0
346,0,0,0,0,0,0,0,0,1,0
351,0,0,0,0,0,0,0,0,1,0
360,1,0,0,0,0,0,0,0,0,0
361,0,1,0,0,1,0,0,0,0,0
363,0,0,0,0,1,0,0,0,0,0
366,0,0,0,0,0,0,1,1,0,0
369,0,0,0,0,1,1,0,1,0,0
376,0,0,0,0,0,0,0,0,1,0
377,0,0,0,0,0,0,0,0,1,0
380,0,0,0,0,0,0,0,0,1,0
384,1,0,0,0,0,0,0,0,1,0
390,0,0,0,0,1,0,0,1,0,0
410,0,0,0,1,0,0,0,0,0,0
411,0,0,0,0,0,0,0,0,0,1
412,0,0,0,1,0,0,1,0,0,0
414,0,0,0,1,0,0,0,0,0,0
418,0,0,0,1,0,1,0,1,0,0
419,0,0,0,1,0,0,0,0,0,0
421,0,0,0,0,0,1,0,0,0,0
424,0,0,0,1,0,1,0,0,0,0
425,0,0,0,0,0,1,0,1,0,1
427,0,0,0,0,0,1,0,0,0,0
429,0,0,0,1,0,0,0,0,0,0
430,0,0,0,0,0,0,0,0,0,1
433,0,0,0,0,0,0,1,0,0,0
434,0,0,0,0,0,0,1,0,0,0
439,0,0,0,0,0,0,1,0,0,0
441,0,0,0,0,0,0,1,0,0,0
444,0,0,0,0,0,0,1,0,0,0
446,0,0,0,0,0,0,1,0,0,0
447,0,0,0,0,0,0,1,0,0,0
450,0,0,0,0,0,0,1,0,0,0
451,0,0,0,0,0,0,1,0,0,0
454,0,0,0,0,0,0,1,0,0,0
459,0,0,0,0,0,0,1,0,0,0
467,0,0,0,0,0,0,1,0,0,0
470,0,0,0,0,0,0,1,0,0,0
479,0,0,0,0,1,0,0,1,0,0
481,0,0,0,0,1,0,1,1,0,0
490,0,0,1,0,0,0,0,0,0,0
492,0,0,1,0,0,0,0,0,0,0
497,1,0,0,0,0,0,0,0,0,0
498,0,0,0,0,0,0,0,0,1,0
501,0,0,0,1,0,0,0,0,0,0
502,0,0,0,0,0,0,0,0,1,0
503,0,0,0,0,0,0,0,0,1,0
504,0,0,0,0,0,0,0,0,1,0
505,0,0,0,0,0,0,1,0,0,0
506,0,0,0,0,0,0,1,0,1,0
509,0,0,0,0,1,0,1,0,0,0
518,0,0,0,0,0,0,0,0,1,0
520,0,0,0,0,0,0,0,0,1,0
531,0,0,0,0,0,0,0,0,1,0
540,0,0,0,0,1,1,1,1,0,0
541,0,0,0,0,1,0,0,1,0,0
542,0,0,0,0,1,0,0,0,0,0
546,0,0,0,0,0,1,0,0,0,0
548,0,0,0,0,1,1,1,0,0,0
555,0,0,0,0,1,0,0,0,0,0
562,0,0,0,0,0,0,0,0,1,0
564,1,0,0,0,0,0,0,0,1,0
576,0,0,1,0,0,0,0,0,0,0
580,0,1,0,0,0,0,0,0,0,0
582,0,0,0,0,0,0,0,0,0,1
605,1,0,0,0,0,0,1,0,0,0
607,1,0,0,0,0,0,0,0,0,0
608,1,0,0,0,0,0,0,0,1,0
614,0,0,0,0,0,0,1,0,0,0
615,0,0,0,0,0,0,0,0,1,0
616,0,0,0,0,0,0,1,0,0,0
617,0,0,0,0,0,0,1,0,0,0
619,0,0,0,0,1,0,0,0,0,0
624,0,0,0,0,1,0,0,0,0,0
629,0,0,0,0,1,0,0,0,0,0
631,0,0,0,0,1,0,0,1,0,0
633,0,0,0,0,1,1,0,0,0,0
635,0,0,0,0,1,0,0,1,0,0
645,0,0,0,0,1,0,0,1,0,0
649,0,0,0,0,1,0,0,1,0,0
650,0,0,0,0,1,0,0,0,0,0
651,0,0,0,0,1,0,0,0,0,0
655,0,0,0,0,1,0,0,1,0,0
658,0,0,0,0,1,0,0,0,0,0
660,0,0,0,0,1,0,0,1,0,0
661,0,0,0,0,1,1,0,1,0,0
662,0,0,0,0,0,0,0,1,0,0
665,0,0,0,0,1,0,0,1,0,0
670,0,0,0,0,1,0,0,1,0,0
672,0,0,0,0,1,0,0,0,0,0
673,0,0,0,0,1,0,0,0,0,0
677,0,0,0,0,0,0,1,0,0,0
679,0,0,0,0,0,0,1,0,0,0
682,0,0,0,0,0,0,1,0,0,0
685,0,0,0,0,0,0,1,0,0,0
695,0,1,0,0,0,0,0,0,0,0
698,1,0,0,0,1,0,0,0,0,0
705,0,1,0,0,1,0,0,0,0,0
712,1,0,0,0,0,0,0,0,0,0
720,0,0,0,1,0,0,0,0,0,1
721,0,0,0,1,0,0,0,0,0,1
722,0,0,0,1,0,0,0,0,0,0
724,0,0,0,0,0,1,0,0,0,1
725,0,0,0,0,0,0,0,1,0,1
726,0,0,0,1,0,0,0,1,0,1
728,0,0,0,1,0,1,0,1,0,1
729,0,0,0,1,0,1,0,1,0,1
732,0,0,0,1,0,1,0,1,0,1
750,0,1,0,0,0,0,0,0,0,0
751,0,1,0,0,0,0,0,0,0,0
752,0,1,0,0,0,0,0,0,0,0
755,0,0,0,1,0,1,0,1,0,0
756,0,0,0,1,0,1,0,0,0,0
757,0,0,0,1,0,1,0,0,0,0
758,0,0,0,1,0,0,0,0,0,0
759,0,0,0,1,0,0,0,1,0,0
760,0,0,0,1,1,1,0,0,0,0
761,0,0,0,1,0,1,0,0,0,0
763,0,0,0,1,0,0,0,0,0,0
764,0,0,0,1,0,1,0,0,0,0
766,0,0,0,1,0,0,0,0,0,0
767,0,0,0,1,0,1,1,0,0,0
770,0,0,0,0,1,1,1,1,0,0
771,0,0,0,1,0,0,0,1,0,1
772,0,0,0,1,0,0,0,0,0,1
773,0,0,0,1,0,1,0,1,0,0
774,0,0,0,1,0,0,0,1,0,0
775,1,0,0,0,0,0,0,0,1,0
778,0,0,0,0,1,0,0,0,1,0
781,0,0,0,0,1,0,0,0,0,0
783,0,0,0,0,0,0,0,0,1,0
785,0,0,0,0,0,0,0,0,1,0
787,0,0,0,1,1,0,0,0,1,0
789,0,0,0,0,0,0,0,0,1,0
792,0,0,0,0,0,0,0,0,1,0
794,0,0,0,0,0,0,0,0,1,0
795,0,0,0,0,0,0,0,0,1,0
797,0,0,0,0,0,0,0,0,1,0
800,0,0,0,0,0,0,0,0,1,0
801,1,0,0,0,0,0,0,0,0,0
802,0,0,0,0,0,0,0,0,1,0
805,1,0,0,0,0,0,0,0,1,0
807,1,0,0,0,0,0,0,0,0,1
815,1,0,0,0,0,0,0,1,0,0
816,1,0,0,0,0,0,0,0,0,0
820,1,0,0,0,0,0,0,0,1,0
844,1,0,0,0,1,0,0,0,0,0
845,1,0,0,0,0,0,0,0,0,0
848,1,0,0,0,0,0,0,0,0,0
853,0,0,0,0,0,0,0,0,1,1
854,0,0,1,0,0,0,1,0,0,0
855,0,0,1,0,0,0,0,0,0,0
856,0,0,1,0,0,0,0,0,0,0
859,0,0,0,1,0,0,0,0,0,0
860,0,0,0,1,0,0,0,0,0,0
861,0,0,0,1,0,0,0,0,0,0
863,0,0,0,1,0,0,0,0,0,0
864,0,0,0,1,0,0,0,0,0,0
865,0,0,0,1,0,0,0,0,0,0
866,0,0,0,1,0,0,0,0,0,0
868,0,0,0,1,0,0,0,0,0,0
869,0,0,0,1,0,0,0,0,0,0
871,0,0,0,1,0,0,0,0,0,0
872,0,0,0,1,0,0,0,0,0,0
873,0,0,0,1,0,0,0,0,0,0
874,0,0,0,1,0,0,0,0,0,0
876,0,0,0,1,0,0,0,0,0,0
879,0,0,0,0,0,0,0,0,1,0
885,1,0,0,0,0,0,0,0,0,0
890,0,0,0,0,0,0,0,0,1,0
897,0,0,0,1,0,0,0,0,0,0
898,0,0,0,0,0,0,0,0,1,0
900,1,0,0,0,0,0,0,0,0,0
913,0,1,0,0,0,0,0,0,0,0
919,0,0,1,0,0,0,0,0,0,0
921,0,1,0,0,0,0,0,0,0,0
923,0,0,0,0,1,0,0,1,0,0
924,0,0,0,0,1,0,0,0,0,0
935,0,0,0,0,0,0,0,0,1,0
937,1,0,0,0,0,0,1,0,0,0
939,0,0,0,0,0,0,0,0,1,0
944,1,0,0,0,0,0,0,0,0,0
949,0,0,0,0,0,0,0,0,1,0
952,0,0,0,1,0,0,0,0,1,0
959,1,0,0,0,1,0,0,0,0,0
971,1,0,0,0,0,0,0,0,0,0
974,1,0,0,0,0,0,0,0,1,0
981,1,0,0,0,0,0,0,0,0,0
991,1,1,0,0,1,0,0,0,0,0
993,1,0,0,0,0,0,0,0,0,0
999,0,1,0,0,1,0,0,0,0,0
1002,1,0,0,0,1,0,0,0,0,0
1006,0,1,0,0,1,0,0,0,0,0
1010,0,0,0,0,1,1,1,1,0,0
1024,0,0,0,0,1,1,0,1,0,0
1026,0,0,0,0,1,0,1,0,0,0
1028,0,0,0,0,1,0,0,1,0,0
1030,0,0,0,0,1,0,0,0,0,0
1031,0,0,0,0,1,0,1,1,0,0
1032,0,0,0,0,1,0,0,1,0,0
1036,0,0,0,0,1,0,0,1,0,0
1037,0,0,0,0,1,0,1,1,0,0
1038,0,0,0,0,1,0,0,1,0,0
1042,0,0,0,0,1,0,0,0,0,0
1043,0,0,0,0,1,0,0,0,0,0
1044,0,0,0,0,1,0,1,0,0,0
1045,0,0,0,0,1,0,1,1,0,0
1054,0,0,0,0,0,0,0,1,0,0
1055,0,0,0,0,1,0,0,0,0,0
1056,0,0,0,0,1,0,1,1,0,0
1057,0,0,0,0,1,0,1,1,0,0
1058,0,0,0,0,1,0,0,1,0,0
1062,0,0,0,0,1,1,1,0,0,0
1067,0,0,0,0,1,0,1,1,0,0
1072,0,0,0,0,1,1,1,1,0,0
1076,0,0,0,0,1,0,0,0,0,0
1079,0,0,0,0,1,1,0,1,0,1
1082,0,0,0,0,1,0,1,0,0,0
1083,0,0,0,0,0,0,0,1,0,0
1086,0,0,1,0,1,0,0,0,0,0
1088,0,1,0,0,0,0,0,0,0,0
1089,0,0,0,0,1,0,0,0,0,0
1092,0,0,1,0,0,0,0,0,0,0
1099,0,0,1,0,0,0,0,0,0,0
1105,0,0,1,0,1,0,0,0,0,0
1107,0,0,0,0,1,0,1,0,0,0
1112,1,0,0,0,0,0,0,0,0,0
1114,0,0,0,0,0,0,0,0,1,0
1118,0,1,0,0,1,0,0,0,0,0
1122,0,1,0,0,1,0,0,0,0,0
1124,0,1,0,0,0,0,1,0,0,0
1125,0,0,0,1,0,0,0,0,0,0
1128,0,1,0,0,0,0,0,0,0,0
1132,0,0,0,0,0,0,0,0,1,0
1133,0,1,0,0,0,0,0,0,0,0
1150,0,0,0,0,1,0,0,1,0,0
1154,0,0,0,0,1,0,0,0,0,0
1157,0,0,0,0,1,0,0,0,0,0
1163,0,0,0,0,1,0,0,0,0,0
1166,0,0,0,0,1,0,0,0,0,0
1167,0,0,0,0,1,0,0,0,0,0
1172,0,0,0,0,1,0,0,0,0,0
1174,0,0,0,0,1,0,0,1,0,0
1184,0,0,0,0,1,0,0,1,0,0
1191,0,0,0,0,1,0,0,0,0,0
1195,0,0,0,0,1,1,0,1,0,0
1198,0,0,0,0,1,1,0,1,0,0
1203,0,0,0,0,1,0,0,0,0,0
1213,0,0,0,0,1,0,0,0,0,0
1219,0,0,0,0,1,0,0,0,0,0
1223,0,0,0,0,1,0,0,1,0,0
1227,0,0,0,0,0,0,0,1,0,1
1228,1,0,1,0,0,0,0,1,0,1
1230,0,0,1,1,0,0,0,0,0,0
1231,0,0,0,0,0,0,0,0,0,1
1234,0,0,1,0,0,0,0,0,0,0
1236,0,0,0,0,0,0,0,1,1,1
1237,0,0,0,0,0,0,0,1,0,0
1242,0,0,0,0,0,0,0,1,0,0
1246,0,0,0,0,0,0,0,1,0,1
1247,0,0,0,0,0,0,1,0,0,0
1248,1,0,0,1,0,0,0,0,0,0
1249,1,0,0,0,0,0,0,1,0,1
1250,0,0,0,0,0,0,0,1,0,1
1252,0,0,0,1,0,0,1,0,0,0
1253,0,0,0,0,0,1,1,0,0,0
1256,0,0,0,0,1,0,0,1,0,0
1263,0,0,0,0,0,0,1,1,0,0
1265,0,0,0,0,1,0,1,1,0,0
1270,0,0,0,0,0,0,0,1,0,1
1272,0,0,0,0,1,0,0,1,0,1
1277,0,0,0,0,0,0,1,0,0,0
1283,0,0,0,0,0,0,1,0,0,0
1284,0,0,0,0,0,0,1,0,0,0
1285,0,0,0,0,0,0,1,0,0,0
1287,0,0,0,0,0,0,1,0,0,0
1288,0,0,0,0,0,0,1,0,0,0
1290,0,0,0,0,0,0,1,0,0,0
1291,0,0,0,0,0,0,1,0,0,0
1297,0,0,0,0,0,0,1,0,0,0
1301,0,0,0,0,0,0,1,0,0,0
1304,0,0,0,0,0,0,1,0,0,0
1308,0,0,0,0,0,0,1,0,0,0
1309,0,0,0,0,0,0,1,0,0,0
1311,0,0,0,0,0,1,0,0,0,0
1314,0,0,0,0,0,1,0,0,0,0
1315,0,0,0,0,1,1,1,1,0,0
1319,0,0,0,0,0,1,0,0,0,0
1320,0,0,0,0,1,1,1,1,0,0
1322,0,0,0,0,0,1,1,1,0,0
1323,0,0,0,0,0,1,1,1,0,1
1324,0,0,0,0,0,1,1,1,0,0
1326,0,0,0,0,0,1,0,0,0,0
1328,0,0,0,0,0,1,1,0,0,0
1330,0,0,0,0,0,1,1,1,0,0
1333,0,0,0,0,0,1,0,1,0,0
1335,0,0,0,0,1,1,1,1,0,0
1337,0,0,0,0,0,1,0,0,0,0
1338,0,0,0,0,0,1,0,0,0,0
1339,0,0,0,0,0,1,0,0,0,0
1341,0,0,0,0,0,1,0,0,0,0
1342,0,0,0,0,0,1,0,0,0,0
1343,0,0,0,0,0,1,0,0,0,0
1345,0,0,0,0,0,1,0,0,0,0
1348,0,0,0,0,0,1,0,1,0,0
1349,0,0,0,0,0,1,0,0,0,0
1350,0,0,0,0,0,1,0,0,0,0
1352,0,0,0,0,1,1,0,1,0,0
1355,0,0,0,0,0,1,0,0,0,0
1356,0,0,0,0,0,1,0,0,0,0
1358,0,0,0,0,1,1,0,1,0,0
1359,0,0,0,0,0,1,0,0,0,0
1363,0,0,0,0,0,1,0,0,0,0
1364,0,0,0,0,0,1,0,0,0,0
1366,0,0,0,0,0,1,1,0,0,0
1368,0,0,0,0,1,1,0,1,0,0
1372,0,0,0,0,0,0,0,1,0,0
1376,0,0,0,0,1,0,0,0,0,0
1377,0,0,0,0,1,0,0,0,0,0
1379,0,0,0,0,1,0,0,0,0,0
1380,0,0,0,0,1,0,0,1,0,0
1392,1,1,0,0,0,0,0,0,0,0
1400,0,0,0,0,1,0,0,0,0,0
1401,0,0,0,0,0,0,1,1,0,1
1404,0,0,0,0,1,0,1,0,0,0
1405,0,0,1,0,1,0,0,0,0,0
1410,0,0,1,0,0,0,0,0,0,0
1412,0,0,1,0,0,0,0,0,0,0
1417,0,0,1,0,0,0,0,0,0,0
1421,0,1,0,0,0,0,0,0,0,0
1423,0,1,0,0,0,0,0,0,0,1
1427,0,1,0,0,0,0,0,0,0,0
1430,0,0,0,0,0,0,0,1,0,1
1434,0,1,0,0,0,0,0,0,0,0
1437,0,1,0,0,0,0,1,0,0,0
1444,0,1,0,0,0,0,0,0,0,0
1449,0,0,0,0,1,0,0,0,0,0
1450,0,0,0,0,1,0,0,0,0,0
1452,0,0,0,0,1,0,0,0,0,0
1454,0,0,0,0,1,0,0,0,0,0
1456,0,0,0,0,1,0,0,0,0,0
1462,0,0,0,0,1,0,0,0,0,0
1465,0,0,0,0,0,0,0,0,1,0
1466,0,0,0,0,0,0,0,0,1,0
1468,0,0,0,0,0,0,0,0,1,0
1476,0,0,0,0,0,0,0,0,1,0
1482,1,0,0,0,0,0,0,0,1,0
1484,0,0,0,0,0,0,0,1,0,1
1485,0,0,0,0,0,0,1,0,0,0
1486,0,0,0,0,0,0,1,0,0,0
1491,0,0,0,0,0,0,1,0,0,0
1492,0,0,0,0,0,0,1,0,0,0
1493,0,0,0,0,0,0,1,0,0,0
1494,0,0,0,0,0,0,1,0,0,0
1498,0,0,0,0,0,0,1,0,0,0
1499,0,0,0,0,0,0,1,0,0,0
1500,0,0,0,0,0,0,1,0,0,0
1503,0,0,0,0,0,0,1,0,0,0
1507,0,1,0,0,0,0,0,0,0,0
1511,0,1,0,0,0,0,0,0,0,0
1514,0,1,0,0,1,0,0,0,0,0
1515,0,0,0,1,1,0,0,0,0,1
1519,0,0,0,0,0,0,1,1,0,1
1522,0,1,0,0,1,0,0,0,0,0
1524,0,1,0,0,0,0,0,0,1,0
1526,0,1,0,0,0,0,1,0,0,0
1527,0,1,0,0,0,0,0,0,0,0
1529,0,0,0,0,0,0,1,0,0,0
1537,0,0,0,0,1,1,0,0,0,0
1538,0,0,0,0,0,1,1,0,0,0
1539,0,0,0,0,0,1,0,0,0,0
1540,0,0,0,0,0,1,0,0,0,0
1541,0,0,0,0,0,1,0,1,0,0
1543,0,0,0,0,1,1,0,1,0,0
1544,0,0,0,0,0,1,0,0,0,0
1546,0,0,0,0,0,1,1,1,0,0
1549,0,0,0,0,0,1,0,0,0,0
1550,0,0,0,0,0,1,0,0,0,0
1551,0,0,0,0,0,1,0,0,0,0
1552,0,0,0,0,1,1,1,1,0,0
1553,0,0,0,0,0,1,1,1,0,0
1554,0,0,0,0,0,1,0,0,0,0
1555,0,0,0,0,0,1,0,0,0,0
1556,0,0,0,0,0,1,0,0,0,0
1558,0,0,0,0,0,1,0,0,0,0
1559,0,0,0,0,0,1,1,0,0,0
1560,0,0,0,0,0,1,0,0,0,0
1563,0,0,0,0,0,0,0,0,1,0
1570,0,0,0,0,0,0,0,0,1,0
1571,0,0,0,0,0,0,0,1,0,1
1577,1,0,0,0,0,0,0,0,0,0
1579,0,0,0,0,0,0,0,0,1,0
1585,0,1,0,0,0,0,0,0,0,0
1619,0,1,0,0,0,0,0,0,0,0
1621,0,1,0,0,0,0,0,0,0,0
1623,0,0,1,0,0,0,0,0,0,0
1627,0,0,1,0,0,0,0,0,0,0
1629,0,0,1,0,0,0,0,0,0,0
1632,1,0,1,0,0,0,0,0,0,0
1639,0,0,1,0,0,0,0,0,0,0
1642,0,0,1,0,0,0,0,0,0,0
1646,0,0,1,0,0,0,0,0,0,0
1647,0,0,1,0,0,0,0,0,0,0
1657,0,0,0,1,1,0,0,0,0,0
1659,0,0,1,0,0,0,0,0,0,0
1660,0,0,1,0,0,0,0,0,0,0
1661,0,0,1,0,0,0,0,0,0,0
1665,0,0,1,0,0,0,0,0,0,0
1666,0,0,0,0,1,0,0,0,0,0
1667,0,0,1,0,0,0,0,0,0,0
1669,0,0,1,0,0,0,0,0,0,0
1671,0,0,1,0,0,0,0,0,0,0
1673,0,0,0,0,0,0,0,1,0,0
1675,0,0,0,0,1,0,1,1,0,0
1678,0,0,0,0,0,0,0,1,0,0
1690,0,1,0,0,0,0,0,0,0,0
1699,0,0,0,1,1,0,0,0,0,0
1701,0,0,0,1,1,0,0,0,0,0
1703,0,0,1,0,1,0,0,0,0,0
1706,0,0,1,0,1,0,0,0,0,0
1707,0,0,1,0,0,0,0,0,0,0
1708,0,1,0,0,1,0,0,0,0,0
1709,0,1,0,0,1,0,0,0,0,0
1711,0,0,0,1,1,0,0,0,0,0
1712,0,1,0,0,1,1,0,1,0,0
1713,0,1,0,0,1,0,0,0,0,1
1714,0,1,0,0,0,0,0,0,0,0
1718,0,0,1,0,0,0,0,0,0,0
1719,0,0,0,1,0,0,0,0,0,0
1723,0,0,0,0,0,1,0,0,0,1
1724,0,0,0,0,0,1,0,0,0,0
1725,0,0,0,0,0,0,0,0,0,1
1728,0,0,0,0,0,0,0,1,0,1
1729,0,0,0,0,0,1,0,1,0,0
1730,0,0,0,0,0,1,0,1,0,0
1731,1,0,0,0,0,0,0,0,0,0
1733,0,0,0,0,0,0,0,0,1,0
1737,0,0,0,0,1,0,0,0,0,0
1743,1,0,0,0,0,0,0,0,0,0
1744,1,0,0,0,0,0,0,0,1,0
1748,0,0,0,0,1,0,1,0,1,0
1749,1,0,0,0,0,0,0,0,1,0
1751,0,0,0,0,0,0,0,0,1,0
1753,0,1,0,0,0,0,0,0,0,0
1755,1,0,0,0,0,0,0,0,0,0
1756,0,0,0,1,0,0,0,0,0,0
1766,0,0,1,0,1,0,0,0,0,0
1767,0,0,1,0,1,0,0,0,0,0
1769,0,0,1,0,0,0,0,0,0,0
1770,0,0,1,0,0,0,0,0,0,0
1775,1,0,0,0,1,0,0,0,0,0
1777,1,1,0,0,0,0,0,0,0,0
1782,0,0,0,1,0,0,0,0,0,0
1783,0,0,0,0,0,0,0,0,0,1
1784,0,0,1,0,0,0,0,0,0,0
1789,1,1,0,0,1,0,0,0,0,0
1790,1,0,0,0,1,0,0,0,0,0
1795,0,1,0,0,0,0,1,0,0,0
1797,1,0,0,0,0,0,0,0,0,0
1802,1,0,0,0,0,0,0,0,0,0
1806,0,0,0,0,0,0,0,0,1,0
1807,1,0,0,0,1,0,0,1,0,0
1810,0,0,0,0,0,0,0,0,1,0
1812,0,0,0,0,0,0,1,1,1,0
1815,0,0,0,0,0,0,1,1,0,0
1816,0,0,0,1,0,1,0,0,0,1
1817,0,0,1,0,0,0,0,0,0,0
1818,0,0,0,1,0,1,0,1,0,0
1819,0,0,0,1,0,0,0,0,0,0
1822,0,0,0,1,0,0,0,1,0,1
1831,1,0,0,0,0,0,0,0,0,0
1832,0,0,0,0,1,0,0,0,0,0
1837,0,0,0,1,0,0,0,0,0,0
1839,0,0,0,0,0,0,0,1,0,0
1842,0,0,0,0,0,0,0,1,1,1
1849,0,0,0,0,0,0,0,1,0,0
1854,0,0,0,0,0,1,0,0,0,0
1855,0,0,0,0,1,1,0,0,0,0
1856,0,0,0,0,0,1,0,0,0,0
1857,0,0,0,0,0,1,1,0,0,0
1859,0,0,0,0,0,1,0,0,0,0
1860,0,0,0,0,0,1,0,0,0,0
1861,0,0,0,0,0,1,0,0,0,0
1862,0,0,0,0,0,1,0,0,0,0
1863,0,0,0,0,1,1,0,1,0,0
1864,0,0,0,0,0,1,0,0,0,0
