,clip_id,mp3_path,track_number,title,artist,album,url,segmentStart,segmentEnd,original_url
431,4788,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/4/dac_crowell-spctr-01-spctr-2727-2756.mp3,1,SPCTR,DAC Crowell,SPCTR,http://www.magnatune.com/artists/albums/dac-spctr/,2727,2756,http://he3.magnatune.com/all/01-SPCTR-DAC%20Crowell.mp3
1453,28301,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/john_williams-dusty_porch-06-old_man_rocking_chair-59-88.mp3,6,Old Man Rocking Chair,John Williams,Dusty Porch,http://www.magnatune.com/artists/albums/williams-dusty/,59,88,http://he3.magnatune.com/all/06-Old%20Man%20Rocking%20Chair-John%20Williams.mp3
1149,53525,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/7/jag-cypress_grove_blues-16-baby_dont_say_that-88-117.mp3,16,Baby Don't Say That,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,88,117,http://he3.magnatune.com/all/16-Baby%20Don't%20Say%20That-Jag.mp3
1156,11455,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/3/jag-four_strings-03-all_worn_out-30-59.mp3,3,All Worn Out,Jag,Four Strings,http://www.magnatune.com/artists/albums/jag-four/,30,59,http://he3.magnatune.com/all/03-All%20Worn%20Out-Jag.mp3
1463,54355,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/john_williams-dusty_porch-17-dog_leg-88-117.mp3,17,Dog Leg,John Williams,Dusty Porch,http://www.magnatune.com/artists/albums/williams-dusty/,88,117,http://he3.magnatune.com/all/17-Dog%20Leg-John%20Williams.mp3
1185,26184,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/jag-juke_joint_boogie-06-boogie_in_e-0-29.mp3,6,Boogie In E,Jag,Juke Joint Boogie,http://www.magnatune.com/artists/albums/jag-juke/,0,29,http://he3.magnatune.com/all/06-Boogie%20In%20E-Jag.mp3
1459,47799,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/john_williams-dusty_porch-12-country_kitchen-0-29.mp3,12,Country Kitchen,John Williams,Dusty Porch,http://www.magnatune.com/artists/albums/williams-dusty/,0,29,http://he3.magnatune.com/all/12-Country%20Kitchen-John%20Williams.mp3
1137,17903,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/7/jag-cypress_grove_blues-04-guitar_rag-175-204.mp3,4,Guitar Rag,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,175,204,http://he3.magnatune.com/all/04-Guitar%20Rag-Jag.mp3
1140,32957,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/7/jag-cypress_grove_blues-07-reckless_woman_blues-117-146.mp3,7,Reckless Woman Blues,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,117,146,http://he3.magnatune.com/all/07-Reckless%20Woman%20Blues-Jag.mp3
268,35706,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/e/burning_babylon-stereo_mash_up-08-heavy_dread-30-59.mp3,8,Heavy Dread,Burning Babylon,Stereo Mash Up,http://www.magnatune.com/artists/albums/babylon-stereo/,30,59,http://he3.magnatune.com/all/08-Heavy%20Dread%20-Burning%20Babylon.mp3
978,27343,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/f/ivilion-sartinal-06-hshante-117-146.mp3,6,Hshante,Ivilion,Sartinal,http://www.magnatune.com/artists/albums/ivilion-sartinal/,117,146,http://he3.magnatune.com/all/06-Hshante-Ivilion.mp3
895,35327,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/f/glen_bledsoe-octopants-08-ehaw-30-59.mp3,8,eHaw,Glen Bledsoe,Octopants,http://www.magnatune.com/artists/albums/bledsoe-octopants/,30,59,http://he3.magnatune.com/all/08-eHaw-Glen%20Bledsoe.mp3
331,18378,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/e/c_layne-the_sun_will_come_out_to_blind_you-04-less_of_you_feat__revel_yth-117-146.mp3,4,Less Of You (feat. Revel Yth),C Layne,The Sun Will Come Out to Blind You,http://www.magnatune.com/artists/albums/clayne-blind/,117,146,http://he3.magnatune.com/all/04-Less%20Of%20You%20(feat.%20Revel%20Yth)-C%20Layne.mp3
2085,10050,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/d/paul_avgerinos-words_touch-02-song_without_end-117-146.mp3,2,Song Without End,Paul Avgerinos,Words Touch,http://www.magnatune.com/artists/albums/avgerinos-words/,117,146,http://he3.magnatune.com/all/02-Song%20Without%20End-Paul%20Avgerinos.mp3
2870,2218,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/4/touchinggrace-panacea-01-jupiter_suite-610-639.mp3,1,Jupiter Suite,touchingGrace,Panacea,http://www.magnatune.com/artists/albums/touchinggrace-panacea/,610,639,http://he3.magnatune.com/all/01-Jupiter%20Suite-touchingGrace.mp3
810,26167,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/a/falik-dreams_from_the_machine-06-black_llama-0-29.mp3,6,Black Llama,Falik,Dreams from the Machine,http://www.magnatune.com/artists/albums/falik-dreams/,0,29,http://he3.magnatune.com/all/06-Black%20Llama-Falik.mp3
2873,3026,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/1/touchinggrace-the_reformation_sessions-01-november_gale-262-291.mp3,1,November Gale,touchingGrace,The Reformation Sessions,http://www.magnatune.com/artists/albums/touchinggrace-reformation/,262,291,http://he3.magnatune.com/all/01-November%20Gale-touchingGrace.mp3
2702,50592,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/the_bots-truth-13-smoky_on_da_mic-59-88.mp3,13,Smoky On Da Mic,The Bots,Truth,http://www.magnatune.com/artists/albums/bots-truth/,59,88,http://he3.magnatune.com/all/13-Smoky%20On%20Da%20Mic-The%20Bots.mp3
1173,56524,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/3/jag-four_strings-20-your_daddy_dont_know-88-117.mp3,20,Your Daddy Don't Know,Jag,Four Strings,http://www.magnatune.com/artists/albums/jag-four/,88,117,http://he3.magnatune.com/all/20-Your%20Daddy%20Don't%20Know-Jag.mp3
925,17366,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/f/heavy_mellow-acoustic_abstracts-04-double_time-0-29.mp3,4,Double Time,Heavy Mellow,Acoustic Abstracts,http://www.magnatune.com/artists/albums/heavymellow-acoustic/,0,29,http://he3.magnatune.com/all/04-Double%20Time-Heavy%20Mellow.mp3
931,42380,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/f/heavy_mellow-acoustic_abstracts-10-delight-30-59.mp3,10,Delight,Heavy Mellow,Acoustic Abstracts,http://www.magnatune.com/artists/albums/heavymellow-acoustic/,30,59,http://he3.magnatune.com/all/10-Delight-Heavy%20Mellow.mp3
1175,56958,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/3/jag-four_strings-22-dark_hollow-117-146.mp3,22,Dark Hollow,Jag,Four Strings,http://www.magnatune.com/artists/albums/jag-four/,117,146,http://he3.magnatune.com/all/22-Dark%20Hollow-Jag.mp3
1919,30754,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/8/mercy_machine-mercy_machine-07-cantos_no__3-30-59.mp3,7,Cantos no. 3,Mercy Machine,Mercy Machine,http://www.magnatune.com/artists/albums/mercy-mercy/,30,59,http://he3.magnatune.com/all/07-Cantos%20no.%203-Mercy%20Machine.mp3
2995,43275,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/c/william_brooks-fowl_mouth-10-maybe_meagan-0-29.mp3,10,Maybe Meagan,William Brooks,Fowl Mouth,http://www.magnatune.com/artists/albums/wbrooks-fowl/,0,29,http://he3.magnatune.com/all/10-Maybe%20Meagan-William%20Brooks.mp3
1187,35738,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/jag-juke_joint_boogie-08-house_rockin-146-175.mp3,8,House Rockin,Jag,Juke Joint Boogie,http://www.magnatune.com/artists/albums/jag-juke/,146,175,http://he3.magnatune.com/all/08-House%20Rockin-Jag.mp3
2991,27314,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/c/william_brooks-fowl_mouth-06-hideaway-175-204.mp3,6,Hideaway,William Brooks,Fowl Mouth,http://www.magnatune.com/artists/albums/wbrooks-fowl/,175,204,http://he3.magnatune.com/all/06-Hideaway-William%20Brooks.mp3
1176,57301,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/3/jag-four_strings-23-four_string_blues-88-117.mp3,23,Four String Blues,Jag,Four Strings,http://www.magnatune.com/artists/albums/jag-four/,88,117,http://he3.magnatune.com/all/23-Four%20String%20Blues-Jag.mp3
1151,55362,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/7/jag-cypress_grove_blues-18-slide_boogie-59-88.mp3,18,Slide Boogie,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,59,88,http://he3.magnatune.com/all/18-Slide%20Boogie-Jag.mp3
2461,5726,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/7/shane_jackman-equilibrium-01-what_i_did_on_my_summer_vacation-88-117.mp3,1,What I did on my summer vacation,Shane Jackman,Equilibrium,http://www.magnatune.com/artists/albums/jackman-equilibrium/,88,117,http://he3.magnatune.com/all/01-What%20I%20did%20on%20my%20summer%20vacation-Shane%20Jackman.mp3
286,49419,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/2/burnshee_thornside-blues_and_misc-12-you_are_too_expensive_for_me-59-88.mp3,12,You are too expensive for me,Burnshee Thornside,Blues and misc,http://www.magnatune.com/artists/albums/burnshee-blues/,59,88,http://he3.magnatune.com/all/12-You%20are%20too%20expensive%20for%20me-Burnshee%20Thornside.mp3
1177,57794,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/3/jag-four_strings-24-whiskey_chaser-117-146.mp3,24,Whiskey Chaser,Jag,Four Strings,http://www.magnatune.com/artists/albums/jag-four/,117,146,http://he3.magnatune.com/all/24-Whiskey%20Chaser-Jag.mp3
1146,50526,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/7/jag-cypress_grove_blues-13-runnin_the_line-88-117.mp3,13,Runnin the Line,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,88,117,http://he3.magnatune.com/all/13-Runnin%20the%20Line-Jag.mp3
2464,19636,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/7/shane_jackman-equilibrium-04-set_fire_to_the_city-30-59.mp3,4,Set fire to the city,Shane Jackman,Equilibrium,http://www.magnatune.com/artists/albums/jackman-equilibrium/,30,59,http://he3.magnatune.com/all/04-Set%20fire%20to%20the%20city-Shane%20Jackman.mp3
1448,4867,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/john_williams-dusty_porch-01-steam_train-0-29.mp3,1,Steam Train,John Williams,Dusty Porch,http://www.magnatune.com/artists/albums/williams-dusty/,0,29,http://he3.magnatune.com/all/01-Steam%20Train-John%20Williams.mp3
927,29011,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/f/heavy_mellow-acoustic_abstracts-06-snake_bite_suite-30-59.mp3,6,Snake Bite Suite,Heavy Mellow,Acoustic Abstracts,http://www.magnatune.com/artists/albums/heavymellow-acoustic/,30,59,http://he3.magnatune.com/all/06-Snake%20Bite%20Suite-Heavy%20Mellow.mp3
1170,54904,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/3/jag-four_strings-17-tip_jar_blues-0-29.mp3,17,Tip Jar Blues,Jag,Four Strings,http://www.magnatune.com/artists/albums/jag-four/,0,29,http://he3.magnatune.com/all/17-Tip%20Jar%20Blues-Jag.mp3
2463,15567,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/7/shane_jackman-equilibrium-03-the_angle_of_repose-146-175.mp3,3,The angle of repose,Shane Jackman,Equilibrium,http://www.magnatune.com/artists/albums/jackman-equilibrium/,146,175,http://he3.magnatune.com/all/03-The%20angle%20of%20repose-Shane%20Jackman.mp3
2730,20524,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/9/the_seldon_plan-making_circles-04-top_left_corner-0-29.mp3,4,Top Left Corner,The Seldon Plan,Making Circles,http://www.magnatune.com/artists/albums/seldon-circles/,0,29,http://he3.magnatune.com/all/04-Top%20Left%20Corner-The%20Seldon%20Plan.mp3
1178,57842,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/3/jag-four_strings-25-four_on_the_floor-117-146.mp3,25,Four On The Floor,Jag,Four Strings,http://www.magnatune.com/artists/albums/jag-four/,117,146,http://he3.magnatune.com/all/25-Four%20On%20The%20Floor-Jag.mp3
1144,45180,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/7/jag-cypress_grove_blues-11-barroom_boogie-30-59.mp3,11,Barroom Boogie,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,30,59,http://he3.magnatune.com/all/11-Barroom%20Boogie-Jag.mp3
1138,23255,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/7/jag-cypress_grove_blues-05-levy_camp_moan-59-88.mp3,5,Levy Camp Moan,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,59,88,http://he3.magnatune.com/all/05-Levy%20Camp%20Moan-Jag.mp3
1835,50110,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/d/magnatune_compilation-new_age_and_jazz-13-jag_juke_joint_boogie-0-29.mp3,13,Jag_ Juke Joint Boogie,Magnatune Compilation,New Age and Jazz,http://www.magnatune.com/artists/albums/magnacomp-newage/,0,29,http://he3.magnatune.com/all/13-Jag_%20Juke%20Joint%20Boogie-Magnatune%20Compilation.mp3
2996,45990,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/c/william_brooks-fowl_mouth-11-karma_dogs-175-204.mp3,11,Karma Dogs,William Brooks,Fowl Mouth,http://www.magnatune.com/artists/albums/wbrooks-fowl/,175,204,http://he3.magnatune.com/all/11-Karma%20Dogs-William%20Brooks.mp3
169,43523,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/a/asteria-soyes_loyal-10-of_a_rose_singe_we_lute_anon-88-117.mp3,10,Of A Rose Singe We (Lute) (anon),Asteria,Soyes Loyal,http://www.magnatune.com/artists/albums/asteria-soyes/,88,117,http://he3.magnatune.com/all/10-Of%20A%20Rose%20Singe%20We%20(Lute)%20(anon)-Asteria.mp3
1388,56073,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/d/jeff_wahl-guitarscapes-19-train-30-59.mp3,19,Train,Jeff Wahl,Guitarscapes,http://www.magnatune.com/artists/albums/wahl-guitarscapes/,30,59,http://he3.magnatune.com/all/19-Train-Jeff%20Wahl.mp3
1029,58778,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/8/jacob_heringman-blame_not_my_lute-40-fortune-0-29.mp3,40,Fortune,Jacob Heringman,Blame Not My Lute,http://www.magnatune.com/artists/albums/heringman-blamenot/,0,29,http://he3.magnatune.com/all/40-Fortune-Jacob%20Heringman.mp3
1576,22934,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/8/kenji_williams-worldspirit_soundtrack-05-journey-59-88.mp3,5,Journey,Kenji Williams,Worldspirit Soundtrack,http://www.magnatune.com/artists/albums/kenji-worldspirit/,59,88,http://he3.magnatune.com/all/05-Journey-Kenji%20Williams.mp3
1446,41064,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/e/john_jackson-bad_things_happen_all_the_time-09-spanish_lullabies-175-204.mp3,9,Spanish Lullabies,John Jackson,Bad Things Happen All The Time,http://www.magnatune.com/artists/albums/jjackson-badthings/,175,204,http://he3.magnatune.com/all/09-Spanish%20Lullabies-John%20Jackson.mp3
1443,30034,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/e/john_jackson-bad_things_happen_all_the_time-06-you_should_be_with_the_woolwich-0-29.mp3,6,You Should Be With The Woolwich,John Jackson,Bad Things Happen All The Time,http://www.magnatune.com/artists/albums/jjackson-badthings/,0,29,http://he3.magnatune.com/all/06-You%20Should%20Be%20With%20The%20Woolwich-John%20Jackson.mp3
543,46832,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/doc_rossi-demarzi6_sonatas_for_cetra_o_kitara-11-sonata_iii_largo-146-175.mp3,11,Sonata III Largo,Doc Rossi,Demarzi-6 Sonatas for Cetra o Kitara,http://www.magnatune.com/artists/albums/rossi-demarzi/,146,175,http://he3.magnatune.com/all/11-Sonata%20III%20Largo-Doc%20Rossi.mp3
379,19549,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/0/chris_harvey-the_white_sail-04-secrets_from_the_screen-175-204.mp3,4,Secrets From The Screen,Chris Harvey,The White Sail,http://www.magnatune.com/artists/albums/harvey-wsail/,175,204,http://he3.magnatune.com/all/04-Secrets%20From%20The%20Screen-Chris%20Harvey.mp3
1620,57988,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/3/kiev_theological_academy_and_seminary_choir-traditional_worship_singing_of_kievpechersk_lavra-25-the_body_of_christ-30-59.mp3,25,The Body of Christ,Kiev Theological Academy and Seminary Choir,Traditional worship singing of Kiev-Pechersk Lavra,http://www.magnatune.com/artists/albums/kyrivseminary-lavra/,30,59,http://he3.magnatune.com/all/25-The%20Body%20of%20Christ-Kiev%20Theological%20Academy%20and%20Seminary%20Choir.mp3
2349,1975,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/b/rob_costlow-sophomore_jinx-01-i_do-0-29.mp3,1,I Do,Rob Costlow,Sophomore Jinx,http://www.magnatune.com/artists/albums/costlow-sophomore/,0,29,http://he3.magnatune.com/all/01-I%20Do%20-%20Rob%20Costlow.mp3
1925,50209,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/8/mercy_machine-mercy_machine-13-measure_of_beauty-0-29.mp3,13,Measure of Beauty,Mercy Machine,Mercy Machine,http://www.magnatune.com/artists/albums/mercy-mercy/,0,29,http://he3.magnatune.com/all/13-Measure%20of%20Beauty-Mercy%20Machine.mp3
1130,42561,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/e/jade_leary-fossildawn-10-eventually-59-88.mp3,10,Eventually,Jade Leary,Fossildawn,http://www.magnatune.com/artists/albums/jade-fossildawn/,59,88,http://he3.magnatune.com/all/10-Eventually-Jade%20Leary.mp3
399,41281,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/curandero-curandero-09-teddy_bear-59-88.mp3,9,Teddy Bear,Curandero,Curandero,http://www.magnatune.com/artists/albums/curandera-curandero/,59,88,http://he3.magnatune.com/all/09-Teddy%20Bear%20-%20Curandero.mp3
1051,49781,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/8/jacob_heringman-josquin_des_prez_lute_settings-13-de_fuenllana__christe-88-117.mp3,13,De Fuenllana _ Christe,Jacob Heringman,Josquin des Prez Lute Settings,http://www.magnatune.com/artists/albums/heringman-josquin/,88,117,http://he3.magnatune.com/all/13-De%20Fuenllana%20_%20Christe-Jacob%20Heringman.mp3
1580,1809,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/9/kiev_seminary_choir-hymns_of_the_allnight_vigil-01-good_news_to_vsenoschnaya-30-59.mp3,1,Good news to Vsenoschnaya,Kiev Seminary Choir,Hymns of the All-Night Vigil,http://www.magnatune.com/artists/albums/kyivseminary-hymns/,30,59,http://he3.magnatune.com/all/01-Good%20news%20to%20Vsenoschnaya-Kiev%20Seminary%20Choir.mp3
322,40068,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/3/c__layne-potemkin_villages-09-michael-88-117.mp3,9,Michael,C. Layne,Potemkin Villages,http://www.magnatune.com/artists/albums/clayne-potemkin/,88,117,http://he3.magnatune.com/all/09-Michael-C.%20Layne.mp3
556,57752,C:/Users/fmlin/Desktop/ismir2018_tutorial-master/dataset/MagnaTagATune/audio/6/doc_rossi-demarzi6_sonatas_for_cetra_o_kitara-24-sonata_vi_minuet-0-29.mp3,24,Sonata VI Minuet,Doc Rossi,Demarzi-6 Sonatas for Cetra o Kitara,http://www.magnatune.com/artists/albums/rossi-demarzi/,0,29,http://he3.magnatune.com/all/24-Sonata%20VI%20Minuet-Doc%20Rossi.mp3
