,blues,classical,country,jazz,pop,rock,techno
1080,0,1,0,0,0,0,0
2330,0,1,0,0,0,0,0
1727,0,1,0,0,0,0,0
770,0,1,0,0,0,0,0
93,0,1,0,0,0,0,0
1268,0,1,0,0,0,0,0
2927,0,1,0,0,0,0,0
2936,0,1,0,0,0,0,0
1010,0,1,0,0,0,0,0
1314,0,1,0,0,0,0,0
1030,0,1,0,0,0,0,0
2336,0,1,0,0,0,0,0
67,0,1,0,0,0,0,0
373,0,1,0,0,0,0,0
1036,0,1,0,0,0,0,0
2347,0,1,0,0,0,0,0
2943,0,1,0,0,0,0,0
2092,0,1,0,0,0,0,0
1301,0,1,0,0,0,0,0
1328,0,1,0,0,0,0,0
2456,0,1,0,0,0,0,0
2119,0,1,0,0,0,0,0
2259,0,1,0,0,0,0,0
39,0,1,0,0,0,0,0
2977,0,1,0,0,0,0,0
2937,0,1,0,0,0,0,0
1280,0,1,0,0,0,0,0
2262,0,1,0,0,0,0,0
1499,0,1,0,0,0,0,0
1092,0,1,0,0,0,0,0
658,0,1,0,0,0,0,0
1261,0,1,0,0,0,0,0
1537,0,1,0,0,0,0,0
2058,0,1,0,0,0,0,0
2198,0,1,0,0,0,0,0
2060,0,1,0,0,0,0,0
2209,0,1,0,0,0,0,0
485,0,1,0,0,0,0,0
2675,0,1,0,0,0,0,0
1212,0,1,0,0,0,0,0
472,0,1,0,0,0,0,0
2270,0,1,0,0,0,0,0
2186,0,1,0,0,0,0,0
2130,0,1,0,0,0,0,0
2175,0,1,0,0,0,0,0
1088,0,1,0,0,0,0,0
57,0,1,0,0,0,0,0
661,0,1,0,0,0,0,0
91,0,1,0,0,0,0,0
2441,0,1,0,0,0,0,0
1199,0,1,0,0,0,0,0
859,0,1,0,0,0,0,0
87,0,1,0,0,0,0,0
1355,0,1,0,0,0,0,0
1043,0,1,0,0,0,0,0
1538,0,1,0,0,0,0,0
2436,0,1,0,0,0,0,0
436,0,1,0,0,0,0,0
626,0,1,0,0,0,0,0
2156,0,1,0,0,0,0,0
1058,0,1,0,0,0,0,0
641,0,1,0,0,0,0,0
1554,0,1,0,0,0,0,0
765,0,1,0,0,0,0,0
1335,0,1,0,0,0,0,0
1020,0,1,0,0,0,0,0
2451,0,1,0,0,0,0,0
2954,0,1,0,0,0,0,0
457,0,1,0,0,0,0,0
1246,0,1,0,0,0,0,0
665,0,1,0,0,0,0,0
101,0,1,0,0,0,0,0
1318,0,1,0,0,0,0,0
448,0,1,0,0,0,0,0
1859,0,1,0,0,0,0,0
2183,0,1,0,0,0,0,0
666,0,1,0,0,0,0,0
2161,0,1,0,0,0,0,0
1304,0,1,0,0,0,0,0
55,0,1,0,0,0,0,0
761,0,1,0,0,0,0,0
2788,0,1,0,0,0,0,0
2455,0,1,0,0,0,0,0
647,0,1,0,0,0,0,0
2131,0,1,0,0,0,0,0
1198,0,1,0,0,0,0,0
1354,0,1,0,0,0,0,0
1875,0,1,0,0,0,0,0
1249,0,1,0,0,0,0,0
466,0,1,0,0,0,0,0
2942,0,1,0,0,0,0,0
2121,0,1,0,0,0,0,0
2345,0,1,0,0,0,0,0
2111,0,1,0,0,0,0,0
1042,0,1,0,0,0,0,0
13,0,1,0,0,0,0,0
2352,0,1,0,0,0,0,0
1540,0,1,0,0,0,0,0
2168,0,1,0,0,0,0,0
722,0,1,0,0,0,0,0
2489,0,1,0,0,0,0,0
48,0,1,0,0,0,0,0
2962,0,1,0,0,0,0,0
1243,0,1,0,0,0,0,0
1818,0,1,0,0,0,0,0
1021,0,1,0,0,0,0,0
2445,0,1,0,0,0,0,0
2771,0,1,0,0,0,0,0
1034,0,1,0,0,0,0,0
667,0,1,0,0,0,0,0
435,0,1,0,0,0,0,0
1714,0,1,0,0,0,0,0
2932,0,1,0,0,0,0,0
440,0,1,0,0,0,0,0
1484,0,1,0,0,0,0,0
2768,0,1,0,0,0,0,0
865,0,1,0,0,0,0,0
467,0,1,0,0,0,0,0
1493,0,1,0,0,0,0,0
423,0,1,0,0,0,0,0
26,0,1,0,0,0,0,0
2955,0,1,0,0,0,0,0
1283,0,1,0,0,0,0,0
1296,0,1,0,0,0,0,0
731,0,1,0,0,0,0,0
2328,0,1,0,0,0,0,0
1024,0,1,0,0,0,0,0
2440,0,1,0,0,0,0,0
1712,0,1,0,0,0,0,0
2146,0,1,0,0,0,0,0
92,0,1,0,0,0,0,0
79,0,1,0,0,0,0,0
1053,0,1,0,0,0,0,0
19,0,1,0,0,0,0,0
424,0,1,0,0,0,0,0
1213,0,1,0,0,0,0,0
89,0,1,0,0,0,0,0
1327,0,1,0,0,0,0,0
414,0,1,0,0,0,0,0
1561,0,1,0,0,0,0,0
1083,0,1,0,0,0,0,0
1303,0,1,0,0,0,0,0
34,0,1,0,0,0,0,0
1713,0,1,0,0,0,0,0
726,0,1,0,0,0,0,0
1854,0,1,0,0,0,0,0
619,0,1,0,0,0,0,0
1298,0,1,0,0,0,0,0
1224,0,1,0,0,0,0,0
1032,0,1,0,0,0,0,0
2921,0,1,0,0,0,0,0
370,0,1,0,0,0,0,0
1728,0,1,0,0,0,0,0
1863,0,1,0,0,0,0,0
1075,0,1,0,0,0,0,0
1559,0,1,0,0,0,0,0
413,0,1,0,0,0,0,0
458,0,1,0,0,0,0,0
410,0,1,0,0,0,0,0
52,0,1,0,0,0,0,0
426,0,1,0,0,0,0,0
2123,0,1,0,0,0,0,0
2099,0,1,0,0,0,0,0
1129,0,1,0,0,0,0,0
1996,0,1,0,0,0,0,0
1350,0,1,0,0,0,0,0
644,0,1,0,0,0,0,0
1091,0,1,0,0,0,0,0
1989,0,1,0,0,0,0,0
83,0,1,0,0,0,0,0
14,0,1,0,0,0,0,0
2149,0,1,0,0,0,0,0
369,0,1,0,0,0,0,0
2335,0,1,0,0,0,0,0
540,0,1,0,0,0,0,0
1227,0,1,0,0,0,0,0
1953,0,1,0,0,0,0,0
1046,0,1,0,0,0,0,0
2190,0,1,0,0,0,0,0
723,0,1,0,0,0,0,0
22,0,1,0,0,0,0,0
2187,0,1,0,0,0,0,0
1307,0,1,0,0,0,0,0
1815,0,1,0,0,0,0,0
2506,0,1,0,0,0,0,0
2924,0,1,0,0,0,0,0
2126,0,1,0,0,0,0,0
1876,0,1,0,0,0,0,0
1237,0,1,0,0,0,0,0
1299,0,1,0,0,0,0,0
639,0,1,0,0,0,0,0
427,0,1,0,0,0,0,0
2438,0,1,0,0,0,0,0
1358,0,1,0,0,0,0,0
2670,0,1,0,0,0,0,0
727,0,1,0,0,0,0,0
1707,0,1,0,0,0,0,0
1322,0,1,0,0,0,0,0
2957,0,1,0,0,0,0,0
760,0,1,0,0,0,0,0
2216,0,1,0,0,0,0,0
1384,0,1,0,0,0,0,0
1253,0,1,0,0,0,0,0
2338,0,1,0,0,0,0,0
2181,0,1,0,0,0,0,0
2253,0,1,0,0,0,0,0
1324,0,1,0,0,0,0,0
1292,0,1,0,0,0,0,0
685,0,1,0,0,0,0,0
2114,0,1,0,0,0,0,0
2120,0,1,0,0,0,0,0
1038,0,1,0,0,0,0,0
82,0,1,0,0,0,0,0
2449,0,1,0,0,0,0,0
2443,0,1,0,0,0,0,0
2206,0,1,0,0,0,0,0
1606,0,1,0,0,0,0,0
1097,0,1,0,0,0,0,0
1208,0,1,0,0,0,0,0
1349,0,1,0,0,0,0,0
769,0,1,0,0,0,0,0
1419,0,1,0,0,0,0,0
2938,0,1,0,0,0,0,0
2167,0,1,0,0,0,0,0
1250,0,1,0,0,0,0,0
63,0,1,0,0,0,0,0
1195,0,1,0,0,0,0,0
1219,0,1,0,0,0,0,0
759,0,1,0,0,0,0,0
725,0,1,0,0,0,0,0
1084,0,1,0,0,0,0,0
1551,0,1,0,0,0,0,0
2341,0,1,0,0,0,0,0
459,0,1,0,0,0,0,0
2965,0,1,0,0,0,0,0
1077,0,1,0,0,0,0,0
441,0,1,0,0,0,0,0
1816,0,1,0,0,0,0,0
1015,0,1,0,0,0,0,0
449,0,1,0,0,0,0,0
2177,0,1,0,0,0,0,0
73,0,1,0,0,0,0,0
1071,0,1,0,0,0,0,0
418,0,1,0,0,0,0,0
1330,0,1,0,0,0,0,0
1076,0,1,0,0,0,0,0
2134,0,1,0,0,0,0,0
2342,0,1,0,0,0,0,0
1857,0,1,0,0,0,0,0
1855,0,1,0,0,0,0,0
542,0,1,0,0,0,0,0
1662,0,1,0,0,0,0,0
1990,0,1,0,0,0,0,0
35,0,1,0,0,0,0,0
1504,0,1,0,0,0,0,0
1037,0,1,0,0,0,0,0
1062,0,1,0,0,0,0,0
2816,0,1,0,0,0,0,0
1107,0,1,0,0,0,0,0
2668,0,1,0,0,0,0,0
2063,0,1,0,0,0,0,0
2110,0,1,0,0,0,0,0
2272,0,1,0,0,0,0,0
1067,0,1,0,0,0,0,0
464,0,1,0,0,0,0,0
2170,0,1,0,0,0,0,0
1320,0,1,0,0,0,0,0
174,0,1,0,0,0,0,0
1078,0,1,0,0,0,0,0
2142,0,1,0,0,0,0,0
461,0,1,0,0,0,0,0
37,0,1,0,0,0,0,0
1404,0,1,0,0,0,0,0
2115,0,1,0,0,0,0,0
44,0,1,0,0,0,0,0
2309,0,1,0,0,0,0,0
1210,0,1,0,0,0,0,0
2355,0,1,0,0,0,0,0
2254,0,1,0,0,0,0,0
1052,0,1,0,0,0,0,0
454,0,1,0,0,0,0,0
1339,0,1,0,0,0,0,0
1497,0,1,0,0,0,0,0
1723,0,1,0,0,0,0,0
2041,0,1,0,0,0,0,0
1519,0,1,0,0,0,0,0
2178,0,1,0,0,0,0,0
2199,0,1,0,0,0,0,0
2458,0,1,0,0,0,0,0
2946,0,1,0,0,0,0,0
80,0,1,0,0,0,0,0
446,0,1,0,0,0,0,0
869,0,1,0,0,0,0,0
2269,0,1,0,0,0,0,0
2818,0,1,0,0,0,0,0
721,0,1,0,0,0,0,0
755,0,1,0,0,0,0,0
774,0,1,0,0,0,0,0
2331,0,1,0,0,0,0,0
2332,0,1,0,0,0,0,0
1877,0,1,0,0,0,0,0
2275,0,1,0,0,0,0,0
1039,0,1,0,0,0,0,0
2093,0,1,0,0,0,0,0
1724,0,1,0,0,0,0,0
1309,0,1,0,0,0,0,0
1541,0,1,0,0,0,0,0
925,0,0,1,0,0,0,0
2464,0,0,1,0,0,0,0
1448,0,0,1,0,0,0,0
1926,0,0,1,0,0,0,0
1187,0,0,1,0,0,0,0
2461,0,0,1,0,0,0,0
1177,0,0,1,0,0,0,0
2487,0,0,1,0,0,0,0
1175,0,0,1,0,0,0,0
2992,0,0,1,0,0,0,0
927,0,0,1,0,0,0,0
2996,0,0,1,0,0,0,0
2995,0,0,1,0,0,0,0
286,0,0,1,0,0,0,0
2979,0,0,1,0,0,0,0
1178,0,0,1,0,0,0,0
305,0,0,1,0,0,0,0
1176,0,0,1,0,0,0,0
1138,0,0,1,0,0,0,0
1173,0,0,1,0,0,0,0
1835,0,0,1,0,0,0,0
2991,0,0,1,0,0,0,0
931,0,0,1,0,0,0,0
2990,0,0,1,0,0,0,0
2730,0,0,1,0,0,0,0
1146,0,0,1,0,0,0,0
2463,0,0,1,0,0,0,0
1170,0,0,1,0,0,0,0
1151,0,0,1,0,0,0,0
1462,0,0,1,0,0,0,0
2969,0,0,1,0,0,0,0
1919,0,0,1,0,0,0,0
281,0,0,1,0,0,0,0
1144,0,0,1,0,0,0,0
313,0,0,1,0,0,0,0
2462,0,0,1,0,0,0,0
600,0,0,0,1,0,0,0
1802,0,0,0,1,0,0,0
597,0,0,0,1,0,0,0
2895,0,0,0,1,0,0,0
2716,0,0,0,1,0,0,0
2781,0,0,0,1,0,0,0
602,0,0,0,1,0,0,0
1132,0,0,0,1,0,0,0
2809,0,0,0,1,0,0,0
303,0,0,0,1,0,0,0
2782,0,0,0,1,0,0,0
612,0,0,0,1,0,0,0
1837,0,0,0,1,0,0,0
1386,0,0,0,1,0,0,0
2904,0,0,0,1,0,0,0
297,0,0,0,1,0,0,0
1373,0,0,0,1,0,0,0
607,0,0,0,1,0,0,0
604,0,0,0,1,0,0,0
881,0,0,0,1,0,0,0
599,0,0,0,1,0,0,0
391,0,0,0,1,0,0,0
2751,0,0,0,1,0,0,0
2554,0,0,0,1,0,0,0
3006,0,0,0,1,0,0,0
2889,0,0,0,1,0,0,0
301,0,0,0,1,0,0,0
1836,0,0,0,1,0,0,0
2784,0,0,0,1,0,0,0
265,0,0,0,1,0,0,0
1376,0,0,0,1,0,0,0
1387,0,0,0,1,0,0,0
1770,0,0,0,1,0,0,0
270,0,0,0,1,0,0,0
677,0,0,0,1,0,0,0
2034,0,0,0,1,0,0,0
608,0,0,0,1,0,0,0
1248,0,0,0,1,0,0,0
603,0,0,0,1,0,0,0
1381,0,0,0,1,0,0,0
614,0,0,0,1,0,0,0
1390,0,0,0,1,0,0,0
2323,0,0,0,1,0,0,0
2785,0,0,0,1,0,0,0
2783,0,0,0,1,0,0,0
2742,0,0,0,1,0,0,0
2748,0,0,0,1,0,0,0
598,0,0,0,1,0,0,0
613,0,0,0,1,0,0,0
617,0,0,0,1,0,0,0
264,0,0,0,1,0,0,0
495,0,0,0,1,0,0,0
288,0,0,0,1,0,0,0
963,0,0,0,1,0,0,0
2745,0,0,0,1,0,0,0
2039,0,0,0,0,1,0,0
407,0,0,0,0,1,0,0
2750,0,0,0,0,1,0,0
333,0,0,0,0,1,0,0
1793,0,0,0,0,1,0,0
824,0,0,0,0,1,0,0
273,0,0,0,0,1,0,0
1124,0,0,0,0,1,0,0
332,0,0,0,0,1,0,0
1740,0,0,0,0,1,0,0
877,0,0,0,0,1,0,0
1441,0,0,0,0,1,0,0
2019,0,0,0,0,1,0,0
152,0,0,0,0,1,0,0
1754,0,0,0,0,1,0,0
304,0,0,0,0,1,0,0
2650,0,0,0,0,1,0,0
2738,0,0,0,0,1,0,0
1440,0,0,0,0,1,0,0
3019,0,0,0,0,1,0,0
2036,0,0,0,0,1,0,0
360,0,0,0,0,1,0,0
343,0,0,0,0,1,0,0
2643,0,0,0,0,1,0,0
323,0,0,0,0,1,0,0
917,0,0,0,0,1,0,0
299,0,0,0,0,1,0,0
3016,0,0,0,0,1,0,0
2046,0,0,0,0,1,0,0
1753,0,0,0,0,1,0,0
2426,0,0,0,0,1,0,0
2741,0,0,0,0,1,0,0
160,0,0,0,0,1,0,0
2037,0,0,0,0,1,0,0
105,0,0,0,0,1,0,0
1764,0,0,0,0,1,0,0
106,0,0,0,0,1,0,0
714,0,0,0,0,1,0,0
1913,0,0,0,0,1,0,0
405,0,0,0,0,1,0,0
912,0,0,0,0,1,0,0
337,0,0,0,0,1,0,0
1900,0,0,0,0,1,0,0
1251,0,0,0,0,1,0,0
499,0,0,0,0,1,0,0
1734,0,0,0,0,1,0,0
1800,0,0,0,0,1,0,0
2733,0,0,0,0,1,0,0
2648,0,0,0,0,1,0,0
1933,0,0,0,0,1,0,0
2007,0,0,0,0,1,0,0
314,0,0,0,0,1,0,0
490,0,0,0,0,1,0,0
504,0,0,0,0,1,0,0
102,0,0,0,0,1,0,0
302,0,0,0,0,1,0,0
118,0,0,0,0,1,0,0
2891,0,0,0,0,1,0,0
842,0,0,0,0,1,0,0
2001,0,0,0,0,1,0,0
2576,0,0,0,0,0,1,0
2396,0,0,0,0,0,1,0
2302,0,0,0,0,0,1,0
2757,0,0,0,0,0,1,0
2515,0,0,0,0,0,1,0
1119,0,0,0,0,0,1,0
2512,0,0,0,0,0,1,0
2420,0,0,0,0,0,1,0
695,0,0,0,0,0,1,0
1123,0,0,0,0,0,1,0
1757,0,0,0,0,0,1,0
2917,0,0,0,0,0,1,0
2305,0,0,0,0,0,1,0
2052,0,0,0,0,0,1,0
955,0,0,0,0,0,1,0
2731,0,0,0,0,0,1,0
2577,0,0,0,0,0,1,0
849,0,0,0,0,0,1,0
2563,0,0,0,0,0,1,0
2382,0,0,0,0,0,1,0
2974,0,0,0,0,0,1,0
2053,0,0,0,0,0,1,0
705,0,0,0,0,0,1,0
154,0,0,0,0,0,1,0
1001,0,0,0,0,0,1,0
2226,0,0,0,0,0,1,0
295,0,0,0,0,0,1,0
954,0,0,0,0,0,1,0
195,0,0,0,0,0,1,0
2051,0,0,0,0,0,1,0
991,0,0,0,0,0,1,0
159,0,0,0,0,0,1,0
2359,0,0,0,0,0,1,0
1126,0,0,0,0,0,1,0
998,0,0,0,0,0,1,0
2968,0,0,0,0,0,1,0
910,0,0,0,0,0,1,0
1125,0,0,0,0,0,1,0
155,0,0,0,0,0,1,0
2365,0,0,0,0,0,1,0
2307,0,0,0,0,0,1,0
2376,0,0,0,0,0,1,0
2375,0,0,0,0,0,1,0
911,0,0,0,0,0,1,0
2707,0,0,0,0,0,1,0
2514,0,0,0,0,0,1,0
361,0,0,0,0,0,1,0
1004,0,0,0,0,0,1,0
2371,0,0,0,0,0,1,0
2571,0,0,0,0,0,1,0
2579,0,0,0,0,0,1,0
693,0,0,0,0,0,1,0
2000,0,0,0,0,0,1,0
701,0,0,0,0,0,1,0
2056,0,0,0,0,0,1,0
2372,0,0,0,0,0,1,0
1910,0,0,0,0,0,1,0
2582,0,0,0,0,0,1,0
2050,0,0,0,0,0,1,0
686,0,0,0,0,0,1,0
700,0,0,0,0,0,1,0
1111,0,0,0,0,0,1,0
2009,0,0,0,0,0,1,0
2729,0,0,0,0,0,1,0
1128,0,0,0,0,0,1,0
933,0,0,0,0,0,1,0
2377,0,0,0,0,0,1,0
2220,0,0,0,0,0,1,0
283,0,0,0,0,0,1,0
2018,0,0,0,0,0,1,0
2722,0,0,0,0,0,1,0
158,0,0,0,0,0,1,0
1973,0,0,0,0,0,1,0
2585,0,0,0,0,0,1,0
2721,0,0,0,0,0,1,0
2737,0,0,0,0,0,1,0
2219,0,0,0,0,0,1,0
2225,0,0,0,0,0,1,0
1766,0,0,0,0,0,1,0
694,0,0,0,0,0,1,0
1797,0,0,0,0,0,1,0
2564,0,0,0,0,0,1,0
181,0,0,0,0,0,1,0
993,0,0,0,0,0,1,0
697,0,0,0,0,0,1,0
2916,0,0,0,0,0,1,0
2304,0,0,0,0,0,1,0
2360,0,0,0,0,0,1,0
934,0,0,0,0,0,1,0
997,0,0,0,0,0,1,0
2573,0,0,0,0,0,1,0
692,0,0,0,0,0,1,0
2708,0,0,0,0,0,1,0
2574,0,0,0,0,0,1,0
2565,0,0,0,0,0,1,0
1982,0,0,0,0,0,1,0
2378,0,0,0,0,0,1,0
1003,0,0,0,0,0,1,0
2384,0,0,0,0,0,1,0
2736,0,0,0,0,0,1,0
2909,0,0,0,0,0,1,0
953,0,0,0,0,0,1,0
809,0,0,0,0,0,1,0
1005,0,0,0,0,0,1,0
990,0,0,0,0,0,1,0
2363,0,0,0,0,0,1,0
2048,0,0,0,0,0,1,0
409,0,0,0,0,0,1,0
688,0,0,0,0,0,1,0
2580,0,0,0,0,0,1,0
935,0,0,0,0,0,1,0
1114,0,0,0,0,0,1,0
1732,0,0,0,0,0,1,0
2388,0,0,0,0,0,1,0
2223,0,0,0,0,0,1,0
183,0,0,0,0,0,1,0
1946,0,0,0,0,0,1,0
186,0,0,0,0,0,1,0
995,0,0,0,0,0,1,0
1985,0,0,0,0,0,1,0
2586,0,0,0,0,0,1,0
2561,0,0,0,0,0,1,0
2222,0,0,0,0,0,1,0
2380,0,0,0,0,0,1,0
182,0,0,0,0,0,1,0
2381,0,0,0,0,0,1,0
702,0,0,0,0,0,1,0
699,0,0,0,0,0,1,0
908,0,0,0,0,0,1,0
2581,0,0,0,0,0,1,0
996,0,0,0,0,0,1,0
2399,0,0,0,0,0,1,0
2966,0,0,0,0,0,1,0
2008,0,0,0,0,0,1,0
999,0,0,0,0,0,1,0
2584,0,0,0,0,0,1,0
830,0,0,0,0,0,1,0
2587,0,0,0,0,0,1,0
992,0,0,0,0,0,1,0
2415,0,0,0,0,0,1,0
959,0,0,0,0,0,1,0
2024,0,0,0,0,0,1,0
1133,0,0,0,0,0,1,0
2430,0,0,0,0,0,1,0
2389,0,0,0,0,0,1,0
1778,0,0,0,0,0,1,0
2385,0,0,0,0,0,1,0
2049,0,0,0,0,0,1,0
2358,0,0,0,0,0,1,0
2513,0,0,0,0,0,1,0
2228,0,0,0,0,0,1,0
1952,0,0,0,0,0,1,0
127,0,0,0,0,0,1,0
2224,0,0,0,0,0,1,0
2915,0,0,0,0,0,1,0
2227,0,0,0,0,0,1,0
687,0,0,0,0,0,1,0
2919,0,0,0,0,0,1,0
994,0,0,0,0,0,1,0
2878,0,0,0,0,0,1,0
698,0,0,0,0,0,1,0
2362,0,0,0,0,0,1,0
2908,0,0,0,0,0,1,0
960,0,0,0,0,0,1,0
2014,0,0,0,0,0,1,0
689,0,0,0,0,0,1,0
844,0,0,0,0,0,1,0
1769,0,0,0,0,0,1,0
2357,0,0,0,0,0,1,0
703,0,0,0,0,0,1,0
180,0,0,0,0,0,1,0
1002,0,0,0,0,0,1,0
2983,0,0,0,0,0,1,0
2986,0,0,0,0,0,1,0
2511,0,0,0,0,0,1,0
